Frequency,Theta
1.01048e-05,0.995198
1.01094e-05,0.994913
1.0114e-05,0.996481
1.01186e-05,0.995543
1.01232e-05,0.995164
1.01278e-05,0.995309
1.01325e-05,0.996247
1.01371e-05,0.995248
1.01417e-05,0.993657
1.01463e-05,0.994532
1.01509e-05,0.993021
1.01555e-05,0.994502
1.01601e-05,0.994784
1.01647e-05,0.994981
1.01693e-05,0.995565
1.0174e-05,0.995156
1.01786e-05,0.99639
1.01832e-05,0.99725
1.01878e-05,0.996075
1.01924e-05,0.997123
1.0197e-05,0.997125
1.02016e-05,0.998502
1.02062e-05,0.999325
1.02108e-05,0.998803
1.02155e-05,1.00011
1.02201e-05,0.999709
1.02247e-05,0.999017
1.02293e-05,0.999493
1.02339e-05,0.999449
1.02385e-05,0.999263
1.02431e-05,0.999862
1.02477e-05,0.999565
1.02523e-05,1.00009
1.0257e-05,0.999188
1.02616e-05,0.999116
1.02662e-05,0.999465
1.02708e-05,0.998688
1.02754e-05,0.999204
1.028e-05,0.998467
1.02846e-05,0.997656
1.02892e-05,0.997618
1.02938e-05,0.996436
1.02985e-05,0.996135
1.03031e-05,0.995705
1.03077e-05,0.994492
1.03123e-05,0.99586
1.03169e-05,0.994719
1.03215e-05,0.996256
1.03261e-05,0.994199
1.03307e-05,0.995147
1.03353e-05,0.995614
1.034e-05,0.996698
1.03446e-05,0.998065
1.03492e-05,0.998188
1.03538e-05,0.998364
1.03584e-05,0.997156
1.0363e-05,0.997101
1.03676e-05,0.997676
1.03722e-05,0.997739
1.03769e-05,0.996937
1.03815e-05,0.997237
1.03861e-05,0.997605
1.03907e-05,0.996941
1.03953e-05,0.997588
1.03999e-05,0.99672
1.04045e-05,0.995703
1.04091e-05,0.99645
1.04137e-05,0.996576
